OriginRegion,DestinationRegion,EventName,ProjectName,IndustryCode,IndustryDescription,ImpactType,Output,Employment,WageAndSalaryEmployment,ProprietorEmployment,EmployeeCompensation,ProprietorIncome,TaxesOnProductionAndImports,OtherPropertyIncome,TagName
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,261,Commercial and service industry machinery manufacturing,Total,26.498469488,0.000059629,0.000054143,0.000005486,5.638754211,-0.061593605,0.199232571,2.937701008,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,262,Industrial and commercial fan and blower and air purification equipment manufacturing,Total,45.520191345,0.000137875,0.000121533,0.000016342,13.616017645,-0.145292087,0.416005458,4.498975069,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,264,"Air conditioning, refrigeration, and warm air heating equipment manufacturing",Total,288.700334593,0.000710357,0.000678247,0.000032111,33.177428027,-0.379389991,3.298118146,22.138559416,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,265,Industrial mold manufacturing,Total,0.781128897,0.000004096,0.000003788,0.000000308,0.218903889,-0.002574855,0.007415722,0.037417135,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,266,"Special tool, die, jig, and fixture manufacturing",Total,4.584837718,0.000025642,0.000023858,0.000001785,1.192458133,-0.008542942,0.047908385,0.313155605,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,267,Cutting tool and machine tool accessory manufacturing,Total,9.252194617,0.000041568,0.000038432,0.000003137,2.391886219,-0.016992371,0.085773830,0.267578747,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,268,Machine tool manufacturing,Total,9.552123362,0.000031916,0.000029508,0.000002408,1.795883266,-0.019017260,0.080419045,0.804110956,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,269,Rolling mill and other metalworking machinery manufacturing,Total,61.259292851,0.000203579,0.000191713,0.000011866,13.424497676,-0.035274109,0.556365150,3.697097017,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,270,Turbine and turbine generator set units manufacturing,Total,2.295149510,0.000005190,0.000004613,0.000000577,0.664652471,-0.003153298,0.017936493,0.152626623,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,274,"Measuring, dispensing, and other pumping equipment manufacturing",Total,393.433453751,0.000823574,0.000754550,0.000069024,56.905697141,-0.521511163,4.106984388,38.475041169,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,277,Conveyor and conveying equipment manufacturing,Total,0.119238778,0.000000417,0.000000402,0.000000015,0.027645311,-0.000147403,0.001277051,0.005135517,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,281,Welding and soldering equipment manufacturing,Total,53.234278718,0.000117233,0.000106942,0.000010292,8.384774218,-0.141847717,0.478355252,5.450156313,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,286,"Scales, balances, and miscellaneous general purpose machinery manufacturing",Total,12.119045690,0.000033536,0.000029097,0.000004439,3.725738269,-0.029245758,0.093308196,1.069436027,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,288,Computer storage device manufacturing,Total,0.074997706,0.000000053,0.000000053,0.000000000,0.019549203,0.000000000,0.000525685,0.017909433,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,289,Computer terminals and other computer peripheral equipment manufacturing,Total,0.526159819,0.000000754,0.000000742,0.000000012,0.131506350,0.020334602,0.006241118,0.068758919,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,291,Broadcast and wireless communications equipment manufacturing,Total,0.038007522,0.000000084,0.000000084,0.000000000,0.007608626,0.000000000,0.000443965,0.004339704,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,292,Other communications equipment manufacturing,Total,0.527530487,0.000000900,0.000000866,0.000000035,0.091077999,0.010744208,0.006135306,0.086508079,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,293,Audio and video equipment manufacturing,Total,1.383156659,0.000001744,0.000001732,0.000000012,0.100434168,0.009075866,0.019017885,0.093974045,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,294,Printed circuit assembly (electronic assembly) manufacturing,Total,0.036422291,0.000000052,0.000000052,0.000000001,0.005692392,0.001405169,0.000282286,0.009151934,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,295,Bare printed circuit board manufacturing,Total,0.032154090,0.000000110,0.000000110,0.000000001,0.006777768,0.001509166,0.000425756,0.003274075,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,296,Semiconductor and related device manufacturing,Total,"9,790.306168259",0.009934487,0.009600438,0.000334048,"1,707.546330269",769.562311357,103.266194146,"1,121.490907461",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,297,"Capacitor, resistor, coil, transformer, and other inductor manufacturing",Total,2.260804609,0.000007132,0.000007093,0.000000038,0.550467455,0.026140502,0.024640671,0.355092862,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,298,Electronic connector manufacturing,Total,2.056445086,0.000005219,0.000005177,0.000000042,0.294609601,0.097961144,0.023272088,0.214259621,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,299,Other electronic component manufacturing,Total,6.708071208,0.000018682,0.000018501,0.000000181,1.768473465,0.296872006,0.068023560,0.912380215,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,300,Electromedical and electrotherapeutic apparatus manufacturing,Total,0.049158085,0.000000076,0.000000075,0.000000002,0.011418556,0.002920156,0.000571816,0.006034787,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,301,"Search, detection, and navigation instruments manufacturing",Total,2.196051335,0.000004055,0.000004013,0.000000042,0.356048262,0.049074793,0.022591137,0.314727714,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,302,Automatic environmental control manufacturing,Total,119.894428806,0.000442602,0.000441432,0.000001170,23.266363902,0.588099095,1.767554261,12.304152455,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,303,Industrial process variable instruments manufacturing,Total,2.185147559,0.000005372,0.000005344,0.000000027,0.520543811,0.022383352,0.023783666,0.417930884,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,304,Totalizing fluid meter and counting device manufacturing,Total,17.405164814,0.000022492,0.000022241,0.000000251,5.978704346,0.206600055,0.153678839,3.621935185,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,305,Electricity and signal testing instruments manufacturing,Total,0.004841551,0.000000012,0.000000012,0.000000000,0.000994083,0.000000000,0.000061512,0.000379761,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,306,Analytical laboratory instrument manufacturing,Total,650.633616643,0.001155835,0.001141720,0.000014115,192.228745538,4.933541896,5.672467945,103.119749905,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,308,"Watch, clock, and other measuring and controlling device manufacturing",Total,0.984138320,0.000001881,0.000001857,0.000000025,0.210460433,0.017191233,0.011464241,0.084100296,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,309,Manufacturing and reproducing magnetic and optical media,Total,3.357968608,0.000002918,0.000002918,0.000000000,0.709770398,0.000000000,0.030792892,0.787238313,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,311,Lighting fixture manufacturing,Total,0.086609631,0.000000151,0.000000122,0.000000029,0.016204138,0.009023400,0.000300799,0.020104344,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,313,Major household appliance manufacturing,Total,1.338828687,0.000001891,0.000001488,0.000000402,0.113395230,0.103842638,0.006615842,0.332975146,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,314,"Power, distribution, and specialty transformer manufacturing",Total,0.029204026,0.000000061,0.000000052,0.000000009,0.006240543,0.000636175,0.000089384,0.008618310,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,315,Motor and generator manufacturing,Total,15.152941742,0.000026732,0.000020437,0.000006294,2.189838466,0.489887792,0.059806253,2.544753759,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,316,Switchgear and switchboard apparatus manufacturing,Total,9.892305857,0.000015321,0.000013330,0.000001991,1.682690595,0.146341593,0.037785166,2.519453989,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,317,Relay and industrial control manufacturing,Total,2.038839695,0.000004458,0.000004008,0.000000450,0.343124013,0.300340342,0.007058739,0.268469446,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,318,Battery manufacturing,Total,"4,351.373276559",0.006890844,0.005174319,0.001716525,792.064435815,320.638634250,-19.697882440,"1,105.115054312",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,320,Other communication and energy wire manufacturing,Total,0.671052365,0.000000807,0.000000680,0.000000127,0.078038811,0.019835217,0.002350584,0.147960681,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,321,Wiring device manufacturing,Total,3.664309614,0.000005164,0.000003899,0.000001265,0.569361067,0.241320220,0.008483904,1.246179914,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,322,Carbon and graphite product manufacturing,Total,1.657202654,0.000002463,0.000001924,0.000000539,0.327789110,0.086168766,0.005457266,0.524300780,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,323,All other miscellaneous electrical equipment and component manufacturing,Total,0.959876306,0.000001831,0.000000000,0.000001831,0.000000000,0.529940466,0.002340242,0.000000000,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,324,Automobile and light duty motor vehicle manufacturing,Total,"1,716.674802665",0.001141112,0.001118219,0.000022893,148.507439261,0.577452335,10.240130581,116.567214333,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,326,Motor vehicle body manufacturing,Total,1.000780549,0.000002695,0.000002672,0.000000024,0.173482615,0.003458470,0.003621929,0.015649340,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,329,Travel trailer and camper manufacturing,Total,34.279069535,0.000093050,0.000092562,0.000000488,5.034129941,0.170520075,0.123058406,0.998609457,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,330,Motor vehicle gasoline engine and engine parts manufacturing,Total,15.384680572,0.000019554,0.000019110,0.000000443,3.276627528,0.030713712,0.051101009,0.558775495,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,331,Motor vehicle electrical and electronic equipment manufacturing,Total,76.501345926,0.000142597,0.000142597,0.000000000,13.159031895,0.000000000,0.335072797,2.004967603,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,333,Motor vehicle seating and interior trim manufacturing,Total,0.369875506,0.000000778,0.000000778,0.000000000,0.059346652,0.000000000,0.001535595,0.009838101,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,334,Motor vehicle metal stamping,Total,3.031726982,0.000007434,0.000007434,0.000000000,0.532174417,0.000000000,0.012632941,0.066200779,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,335,Other motor vehicle parts manufacturing,Total,8.898667547,0.000017819,0.000017819,0.000000000,1.126550459,0.000000000,0.042521653,0.232478096,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,336,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing",Total,1.429865033,0.000002503,0.000002503,0.000000000,0.232437195,0.000000000,0.006027477,0.031064895,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,337,Aircraft manufacturing,Total,3.709659602,0.000005284,0.000005214,0.000000070,0.712498316,0.000463199,0.034454945,1.316924648,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,338,Aircraft engine and engine parts manufacturing,Total,0.100640716,0.000000138,0.000000137,0.000000001,0.020766886,0.000004891,0.000630940,0.024193059,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,339,Other aircraft parts and auxiliary equipment manufacturing,Total,0.756703030,0.000002369,0.000002355,0.000000014,0.214360391,0.000022987,0.006499172,0.132874282,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,340,Guided missile and space vehicle manufacturing,Total,0.190074274,0.000000270,0.000000267,0.000000003,0.048749786,0.000024719,0.001527046,0.060442808,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,344,Boat building,Total,102.785227783,0.000251947,0.000251947,0.000000000,22.515428847,0.000000000,1.243924300,9.099653001,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,345,"Motorcycle, bicycle, and parts manufacturing",Total,5.111730771,0.000005544,0.000005544,0.000000000,0.395087169,0.000000000,0.039586803,2.635346605,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,346,"Military armored vehicle, tank, and tank component manufacturing",Total,20.054556117,0.000027745,0.000027515,0.000000230,2.771281757,0.000818974,0.236272097,7.592643864,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,347,All other transportation equipment manufacturing,Total,20.667150192,0.000027774,0.000027774,0.000000000,2.027951133,0.000000000,0.245394279,4.973693295,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,348,Wood kitchen cabinet and countertop manufacturing,Total,4.973336268,0.000018104,0.000014402,0.000003702,0.793428787,1.762496295,0.015297517,0.228189707,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,350,Nonupholstered wood household furniture manufacturing,Total,14.830450196,0.000056126,0.000047286,0.000008840,2.959311687,4.266733796,0.042011778,0.673144517,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,351,Other household nonupholstered furniture manufacturing,Total,15.853760868,0.000033768,0.000027979,0.000005788,2.109164436,0.497569197,0.079786238,1.278697629,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,353,Wood office furniture manufacturing,Total,0.037828093,0.000000100,0.000000078,0.000000022,0.004547849,0.012774792,0.000175270,0.002155928,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,355,"Office furniture, except wood, manufacturing",Total,1.117784312,0.000001639,0.000000760,0.000000879,0.179015147,0.239418506,0.004783197,0.190114842,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,358,Blind and shade manufacturing,Total,3.999142009,0.000014405,0.000012563,0.000001842,0.605370356,0.738815271,0.008340365,-0.195203380,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,359,Surgical and medical instrument manufacturing,Total,41.746948822,0.000144886,0.000110846,0.000034040,8.803966240,-0.664990478,0.389388235,8.131523355,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,360,Surgical appliance and supplies manufacturing,Total,13.409184660,0.000033225,0.000025143,0.000008082,2.404953678,-0.286156729,0.123918143,3.151797668,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,362,Ophthalmic goods manufacturing,Total,3.828132140,0.000011825,0.000009594,0.000002230,0.777370106,-0.081971592,0.034583144,1.095102860,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,363,Dental laboratories,Total,1.939704636,0.000015424,0.000013228,0.000002196,0.781100526,-0.116008843,0.018403472,0.149545714,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,364,Jewelry and silverware manufacturing,Total,83.253175562,0.000283437,0.000233249,0.000050188,12.682306102,1.469602457,3.919394691,11.973683470,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,365,Sporting and athletic goods manufacturing,Total,4.376576409,0.000013068,0.000010802,0.000002265,0.688627277,-0.100883968,0.077247238,0.691402370,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,366,"Doll, toy, and game manufacturing",Total,18.737081224,0.000034500,0.000028325,0.000006175,2.441201354,-0.132562386,0.108474241,6.697143734,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,368,Sign manufacturing,Total,454.478708233,0.002810090,0.002404031,0.000406059,158.057612634,-18.173033896,4.199986098,7.831206592,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,369,"Gasket, packing, and sealing device manufacturing",Total,59.562441023,0.000286174,0.000242495,0.000043680,16.913807473,-1.124182303,0.546327280,5.938622874,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,370,Musical instrument manufacturing,Total,6.380074010,0.000035347,0.000030228,0.000005119,2.003586551,-0.187547943,0.038888661,0.045711148,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,374,All other miscellaneous manufacturing,Total,21.609497386,0.000082003,0.000071404,0.000010598,3.750794620,-0.772133913,0.191362645,1.948185822,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,375,Wholesale - Motor vehicle and motor vehicle parts and supplies,Total,"5,192.760986885",0.014626284,0.012221713,0.002404572,912.262908554,73.764692743,239.745894165,910.269609565,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,376,Wholesale - Professional and commercial equipment and supplies,Total,"21,595.535632077",0.084335580,0.060110636,0.024224944,"7,918.614643785",589.207080335,881.496708142,"1,735.998170632",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,377,Wholesale - Household appliances and electrical and electronic goods,Total,"143,798.018094386",0.223752148,0.168478327,0.055273821,"19,736.412826984","1,491.835116985","5,337.415785483","32,981.475667721",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,378,"Wholesale - Machinery, equipment, and supplies",Total,"128,268.660986854",0.494446356,0.389325524,0.105120832,"42,426.778317390","2,684.170177946","6,584.231150086","17,830.678117965",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,379,Wholesale - Other durable goods merchant wholesalers,Total,"32,917.995302583",0.108975300,0.092261807,0.016713493,"7,454.393683013",579.210489757,"2,062.446805925","5,113.531543291",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,380,Wholesale - Drugs and druggists’ sundries,Total,"15,737.095532960",0.020403089,0.013775063,0.006628026,"2,411.165018521",130.576066878,291.747134416,"3,597.304481449",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,381,Wholesale - Grocery and related product wholesalers,Total,"7,176.583561212",0.029598981,0.025167174,0.004431808,"2,077.006895053",64.566822235,127.063164939,"1,229.806877328",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,382,Wholesale - Petroleum and petroleum products,Total,"4,779.904423975",0.002792587,0.002066777,0.000725809,264.113604656,25.683488939,"3,187.572057451",602.295403236,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,383,Wholesale - Other nondurable goods merchant wholesalers,Total,"19,920.677107534",0.055924623,0.046494394,0.009430229,"3,571.299224157",216.082308025,"2,041.964874564","3,818.864051096",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,384,Wholesale - Wholesale electronic markets and agents and brokers,Total,"5,722.484482400",0.105945308,0.074960386,0.030984922,"11,890.450991619","1,009.329769777",43.946712173,"-9,467.072472989",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,385,Retail - Motor vehicle and parts dealers,Total,"1,125,728.970776860",5.652402272,4.865294737,0.787107535,"364,150.054056728","-5,085.615919511","201,858.180519001","243,580.969943098",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,386,Retail - Furniture and home furnishings stores,Total,"17,142.861858737",0.097427793,0.068761306,0.028666487,"3,746.054245052","4,348.331100648","2,386.723393698","5,004.400090557",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,387,Retail - Electronics and appliance stores,Total,"5,006.822938564",0.082347059,0.053877644,0.028469415,"2,942.938116173","1,079.309181500",921.771219727,-273.641388779,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,388,Retail - Building material and garden equipment and supplies stores,Total,"47,209.136593304",0.361263631,0.315896846,0.045366785,"13,501.995412977","2,496.197969476","10,281.245760182","13,460.836316654",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,389,Retail - Food and beverage stores,Total,"52,610.845992403",0.489211931,0.453534701,0.035677230,"18,818.562313625","2,143.326079734","6,270.251651039","11,597.456453778",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,390,Retail - Health and personal care stores,Total,"22,822.106963077",0.201869311,0.146460794,0.055408516,"7,842.950451576",795.501182783,"2,299.306959383","6,121.239409659",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,391,Retail - Gasoline stores,Total,"13,228.880204682",0.100261292,0.083491113,0.016770179,"3,313.939921604",338.764728789,"2,309.505957437","2,924.533008068",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,392,Retail - Clothing and clothing accessories stores,Total,"19,197.579780853",0.148307132,0.102412463,0.045894669,"3,184.922070861","2,337.957919150","3,027.437355436","2,607.050894271",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,393,"Retail - Sporting goods, hobby, musical instrument and book stores",Total,"9,719.119473348",0.129166227,0.078171598,0.050994628,"2,725.132379058","1,806.494775007","1,345.762692445","1,935.318609226",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,394,Retail - General merchandise stores,Total,"40,298.025103330",0.421363668,0.400910055,0.020453613,"16,327.868542017",338.584029624,"7,659.328417460","4,172.126339071",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,395,Retail - Miscellaneous store retailers,Total,"21,917.957527533",0.297358711,0.159145065,0.138213646,"6,985.149343373","3,840.955827264","2,357.396485089",292.228082109,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,396,Air transportation,Total,"10,184.400811212",0.020213084,0.013494076,0.006719008,"1,449.227588445",463.929135138,"1,504.045897124","1,094.055841569",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,397,Rail transportation,Total,"7,075.657278027",0.007534030,0.007531280,0.000002750,"1,380.330165122",-9.598243994,43.348730473,"3,612.277505172",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,398,Water transportation,Total,131.537487419,0.000313415,0.000000000,0.000313415,0.000000000,-0.081067227,0.482132292,0.000000000,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,399,Truck transportation,Total,"42,952.582365338",0.208745626,0.122772956,0.085972670,"8,691.121760355","5,432.642872208","1,247.709124743","4,008.871814264",AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,400,Transit and ground passenger transportation,Total,"7,227.402518353",0.122876277,0.029494898,0.093381379,"1,638.699051695",646.615044932,434.858501639,765.021524432,AZ-06
AZ-06,AZ-06 (Arizona Sixth Congressional District) (2023),All,IDP_Vikrell Electric Boiler  ,401,Pipeline transportation,Total,"1,007.655141701",0.001524951,0.001478605,0.000046346,223.479534015,7.831218928,123.489301807,49.249968603,AZ-06
