DestinationRegion,ProjectName,IndustryCode,IndustryDescription,Output,Employment,Sum of  WageAndSalaryEmployment,Sum of  ProprietorEmployment,Sum of  EmployeeCompensation,Sum of  ProprietorIncome,Sum of  TaxesOnProductionAndImports,Sum of  OtherPropertyIncome
Indiana (2023),Wabash Valley Resources_Indiana_55,286,"Scales, balances, and miscellaneous general purpose machinery manufacturing","1,376.00",0,0,0,329.3,3.4,7.15,125.72
Indiana (2023),Wabash Valley Resources_Indiana_55,287,Electronic computer manufacturing,23.25,0,0,0,2.84,0,0.26,0.61
Indiana (2023),Wabash Valley Resources_Indiana_55,288,Computer storage device manufacturing,1.8,0,0,0,0.25,0,0.02,0.16
Indiana (2023),Wabash Valley Resources_Indiana_55,289,Computer terminals and other computer peripheral equipment manufacturing,4.45,0,0,0,0.39,0,0.07,0.14
Indiana (2023),Wabash Valley Resources_Indiana_55,290,Telephone apparatus manufacturing,22.74,0,0,0,2.29,-0.01,0.31,0.89
Indiana (2023),Wabash Valley Resources_Indiana_55,291,Broadcast and wireless communications equipment manufacturing,146.25,0,0,0,40.57,-0.58,1.32,15.69
Indiana (2023),Wabash Valley Resources_Indiana_55,292,Other communications equipment manufacturing,"2,763.36",0,0,0,602.12,-9.34,26.43,429.95
Indiana (2023),Wabash Valley Resources_Indiana_55,293,Audio and video equipment manufacturing,185.62,0,0,0,27.49,-0.37,1.96,17.45
Indiana (2023),Wabash Valley Resources_Indiana_55,294,Printed circuit assembly (electronic assembly) manufacturing,"1,757.18",0,0,0,268.53,-4.82,14.46,292.82
Indiana (2023),Wabash Valley Resources_Indiana_55,295,Bare printed circuit board manufacturing,181.15,0,0,0,59.4,-0.99,1.84,19.46
Indiana (2023),Wabash Valley Resources_Indiana_55,296,Semiconductor and related device manufacturing,121.44,0,0,0,20.01,-0.18,1.33,8.91
Indiana (2023),Wabash Valley Resources_Indiana_55,297,"Capacitor, resistor, coil, transformer, and other inductor manufacturing",209.76,0,0,0,54.48,-0.71,2.11,23.84
Indiana (2023),Wabash Valley Resources_Indiana_55,298,Electronic connector manufacturing,"2,657.78",0.01,0.01,0,635.3,-8.26,23.74,313.37
Indiana (2023),Wabash Valley Resources_Indiana_55,299,Other electronic component manufacturing,366.86,0,0,0,83.51,-1.1,4.01,29.22
Indiana (2023),Wabash Valley Resources_Indiana_55,300,Electromedical and electrotherapeutic apparatus manufacturing,55.51,0,0,0,13.03,-0.18,0.65,4.67
Indiana (2023),Wabash Valley Resources_Indiana_55,301,"Search, detection, and navigation instruments manufacturing",34.47,0,0,0,7.5,-0.13,0.3,4.5
Indiana (2023),Wabash Valley Resources_Indiana_55,302,Automatic environmental control manufacturing,"9,393.56",0.03,0.03,0,"2,513.83",-48.36,109.64,901.67
Indiana (2023),Wabash Valley Resources_Indiana_55,303,Industrial process variable instruments manufacturing,309.18,0,0,0,78.05,-1.18,3.18,42.5
Indiana (2023),Wabash Valley Resources_Indiana_55,304,Totalizing fluid meter and counting device manufacturing,51.99,0,0,0,8.78,-0.13,0.69,3.61
Indiana (2023),Wabash Valley Resources_Indiana_55,305,Electricity and signal testing instruments manufacturing,7.11,0,0,0,2.05,-0.03,0.07,0.53
Indiana (2023),Wabash Valley Resources_Indiana_55,306,Analytical laboratory instrument manufacturing,106.59,0,0,0,26.67,-0.48,0.99,9.7
Indiana (2023),Wabash Valley Resources_Indiana_55,307,Irradiation apparatus manufacturing,1.42,0,0,0,0.18,0,0.02,0.15
Indiana (2023),Wabash Valley Resources_Indiana_55,308,"Watch, clock, and other measuring and controlling device manufacturing",897.06,0,0,0,179.41,-2.08,9.86,48.63
Indiana (2023),Wabash Valley Resources_Indiana_55,309,Manufacturing and reproducing magnetic and optical media,"2,613.70",0,0,0,290.12,-5.03,29.25,218.25
Indiana (2023),Wabash Valley Resources_Indiana_55,310,Electric lamp bulb and part manufacturing,687.48,0,0,0,163.91,0.9,2.24,174.03
Indiana (2023),Wabash Valley Resources_Indiana_55,311,Lighting fixture manufacturing,"105,278.84",0.24,0.23,0.01,"21,713.70",111.28,424.44,"18,394.55"
Indiana (2023),Wabash Valley Resources_Indiana_55,312,Small electrical appliance manufacturing,815.04,0,0,0,103.7,0.7,3.54,224.05
Indiana (2023),Wabash Valley Resources_Indiana_55,313,Major household appliance manufacturing,637.76,0,0,0,86.17,0.74,2.84,172.76
Indiana (2023),Wabash Valley Resources_Indiana_55,314,"Power, distribution, and specialty transformer manufacturing",4.67,0,0,0,1.07,0.01,0.02,1.01
Indiana (2023),Wabash Valley Resources_Indiana_55,315,Motor and generator manufacturing,"4,762.08",0.01,0.01,0,849.29,6.18,17.42,673.88
Indiana (2023),Wabash Valley Resources_Indiana_55,316,Switchgear and switchboard apparatus manufacturing,807.51,0,0,0,138.81,0.78,3.21,141.91
Indiana (2023),Wabash Valley Resources_Indiana_55,317,Relay and industrial control manufacturing,278.53,0,0,0,61.57,0.55,1.03,32.89
Indiana (2023),Wabash Valley Resources_Indiana_55,318,Battery manufacturing,"5,676.99",0.01,0.01,0,"1,060.04",7.04,-34.59,"1,009.86"
Indiana (2023),Wabash Valley Resources_Indiana_55,320,Other communication and energy wire manufacturing,"4,104.66",0.01,0.01,0,562.57,2.22,13.92,728.29
Indiana (2023),Wabash Valley Resources_Indiana_55,321,Wiring device manufacturing,"18,702.20",0.04,0.03,0,"3,102.46",16.89,51.68,"4,636.51"
Indiana (2023),Wabash Valley Resources_Indiana_55,322,Carbon and graphite product manufacturing,48.43,0,0,0,7.69,0.06,0.22,8.4
Indiana (2023),Wabash Valley Resources_Indiana_55,323,All other miscellaneous electrical equipment and component manufacturing,"8,180.91",0.02,0.02,0,"1,904.99",10.83,27.51,562.65
Indiana (2023),Wabash Valley Resources_Indiana_55,324,Automobile and light duty motor vehicle manufacturing,"141,743.70",0.09,0.09,0,"9,017.54",28.8,936.27,"22,520.76"
Indiana (2023),Wabash Valley Resources_Indiana_55,325,Heavy duty truck manufacturing,42.78,0,0,0,3.56,0.01,0.14,3.19
Indiana (2023),Wabash Valley Resources_Indiana_55,326,Motor vehicle body manufacturing,"1,464.71",0,0,0,288.05,0.97,5.92,82.68
Indiana (2023),Wabash Valley Resources_Indiana_55,327,Truck trailer manufacturing,279.18,0,0,0,51.38,0.23,1.04,16.44
Indiana (2023),Wabash Valley Resources_Indiana_55,328,Motor home manufacturing,"66,690.85",0.13,0.13,0,"9,780.10",72.69,273.66,"4,281.22"
Indiana (2023),Wabash Valley Resources_Indiana_55,329,Travel trailer and camper manufacturing,"113,275.02",0.26,0.26,0,"21,254.41",89.04,415.23,"13,414.90"
Indiana (2023),Wabash Valley Resources_Indiana_55,330,Motor vehicle gasoline engine and engine parts manufacturing,"12,306.43",0.02,0.02,0,"1,321.36",4.66,54.9,716.96
Indiana (2023),Wabash Valley Resources_Indiana_55,331,Motor vehicle electrical and electronic equipment manufacturing,"331,017.16",0.57,0.57,0,"58,059.98",182.78,"1,600.27","28,146.69"
Indiana (2023),Wabash Valley Resources_Indiana_55,332,Motor vehicle transmission and power train parts manufacturing,"120,872.97",0.17,0.17,0,"17,984.23",73.81,494.15,"14,110.98"
Indiana (2023),Wabash Valley Resources_Indiana_55,333,Motor vehicle seating and interior trim manufacturing,"12,629.23",0.03,0.03,0,"1,870.43",7.22,59.42,986.56
Indiana (2023),Wabash Valley Resources_Indiana_55,334,Motor vehicle metal stamping,"4,462.18",0.01,0.01,0,866.05,3.27,20.33,342.78
Indiana (2023),Wabash Valley Resources_Indiana_55,335,Other motor vehicle parts manufacturing,"201,094.26",0.37,0.36,0,"27,946.83",100.84,"1,042.74","18,349.78"
Indiana (2023),Wabash Valley Resources_Indiana_55,336,"Motor vehicle steering, suspension component (except spring), and brake systems manufacturing","505,863.04",0.87,0.86,0,"71,526.94",293.78,"2,485.05","30,415.91"
Indiana (2023),Wabash Valley Resources_Indiana_55,337,Aircraft manufacturing,4.99,0,0,0,0.68,0,0.04,1.48
Indiana (2023),Wabash Valley Resources_Indiana_55,338,Aircraft engine and engine parts manufacturing,84.56,0,0,0,16.38,0.03,0.33,22.6
Indiana (2023),Wabash Valley Resources_Indiana_55,339,Other aircraft parts and auxiliary equipment manufacturing,91.5,0,0,0,26.57,0.02,0.46,19.51
Indiana (2023),Wabash Valley Resources_Indiana_55,340,Guided missile and space vehicle manufacturing,0.05,0,0,0,0.01,0,0,0.01
Indiana (2023),Wabash Valley Resources_Indiana_55,341,Propulsion units and parts for space vehicles and guided missiles manufacturing,0.3,0,0,0,0.08,0,0,0
Indiana (2023),Wabash Valley Resources_Indiana_55,342,Railroad rolling stock manufacturing,610.42,0,0,0,108.2,0.06,4,11.35
Indiana (2023),Wabash Valley Resources_Indiana_55,343,Ship building and repairing,828.27,0,0,0,240.31,0.34,3.14,226.57
Indiana (2023),Wabash Valley Resources_Indiana_55,344,Boat building,"60,551.82",0.15,0.15,0,"12,736.49",5.57,460.98,"6,096.27"
Indiana (2023),Wabash Valley Resources_Indiana_55,345,"Motorcycle, bicycle, and parts manufacturing","2,799.16",0,0,0,206.93,0.15,11.51,"1,634.69"
Indiana (2023),Wabash Valley Resources_Indiana_55,347,All other transportation equipment manufacturing,"1,649.92",0,0,0,142.29,0.19,12.45,413.29
Indiana (2023),Wabash Valley Resources_Indiana_55,348,Wood kitchen cabinet and countertop manufacturing,"483,858.65",2.27,2.19,0.08,"148,517.89","7,073.87","1,531.74","54,029.52"
Indiana (2023),Wabash Valley Resources_Indiana_55,349,Upholstered household furniture manufacturing,"6,413.49",0.03,0.03,0,"1,554.09",94.03,28.62,500.05
Indiana (2023),Wabash Valley Resources_Indiana_55,350,Nonupholstered wood household furniture manufacturing,"5,750.90",0.03,0.03,0,"1,791.38",68.06,16.38,515.43
Indiana (2023),Wabash Valley Resources_Indiana_55,351,Other household nonupholstered furniture manufacturing,"10,533.50",0.02,0.02,0,"1,515.21",61.36,41.65,"1,161.97"
Indiana (2023),Wabash Valley Resources_Indiana_55,352,Institutional furniture manufacturing,"1,921.39",0.01,0.01,0,498.55,25.27,7.53,161.49
Indiana (2023),Wabash Valley Resources_Indiana_55,353,Wood office furniture manufacturing,828.06,0,0,0,179.04,12.85,4.04,107.36
Indiana (2023),Wabash Valley Resources_Indiana_55,354,Custom architectural woodwork and millwork,"1,259.50",0.01,0.01,0,383.73,17,2.8,-58.72
Indiana (2023),Wabash Valley Resources_Indiana_55,355,"Office furniture, except wood, manufacturing",164.39,0,0,0,23.73,2.26,0.8,31.87
Indiana (2023),Wabash Valley Resources_Indiana_55,356,"Showcase, partition, shelving, and locker manufacturing","1,265.52",0,0,0,275.79,16.2,4.77,159.52
Indiana (2023),Wabash Valley Resources_Indiana_55,357,Mattress manufacturing,"9,250.23",0.02,0.02,0,"1,280.35",71.06,35.54,"1,498.83"
Indiana (2023),Wabash Valley Resources_Indiana_55,358,Blind and shade manufacturing,"2,101.79",0.01,0.01,0,467.42,25.53,3.96,-82
Indiana (2023),Wabash Valley Resources_Indiana_55,359,Surgical and medical instrument manufacturing,"14,042.29",0.04,0.04,0,"3,651.78",101.71,91.21,"3,223.35"
Indiana (2023),Wabash Valley Resources_Indiana_55,360,Surgical appliance and supplies manufacturing,"16,555.30",0.03,0.03,0,"3,772.50",79.6,102.6,"4,724.87"
Indiana (2023),Wabash Valley Resources_Indiana_55,361,Dental equipment and supplies manufacturing,80.47,0,0,0,18.37,0.4,0.55,16.61
Indiana (2023),Wabash Valley Resources_Indiana_55,362,Ophthalmic goods manufacturing,"1,010.38",0,0,0,206.82,3.48,7.48,278.43
Indiana (2023),Wabash Valley Resources_Indiana_55,363,Dental laboratories,"1,299.39",0.01,0.01,0,553.72,9.9,8.77,101.31
Indiana (2023),Wabash Valley Resources_Indiana_55,364,Jewelry and silverware manufacturing,"3,432.82",0.01,0.01,0,343.14,44.97,172.06,344.75
Indiana (2023),Wabash Valley Resources_Indiana_55,365,Sporting and athletic goods manufacturing,"3,031.51",0.01,0.01,0,576.47,9.43,39.94,553.13
Indiana (2023),Wabash Valley Resources_Indiana_55,366,"Doll, toy, and game manufacturing","5,351.73",0.01,0.01,0,672.87,11.66,27.5,"1,764.11"
Indiana (2023),Wabash Valley Resources_Indiana_55,367,Office supplies (except paper) manufacturing,"9,759.98",0.02,0.02,0,"2,210.21",32.55,61.13,"1,146.65"
Indiana (2023),Wabash Valley Resources_Indiana_55,368,Sign manufacturing,"30,845.46",0.17,0.16,0.01,"11,861.01",182.76,210.99,561.62
Indiana (2023),Wabash Valley Resources_Indiana_55,369,"Gasket, packing, and sealing device manufacturing","18,928.97",0.08,0.07,0,"6,541.18",83.4,123.38,"2,194.87"
Indiana (2023),Wabash Valley Resources_Indiana_55,370,Musical instrument manufacturing,"3,078.86",0.02,0.01,0,"1,033.62",16.55,14.58,22.54
Indiana (2023),Wabash Valley Resources_Indiana_55,371,"Fasteners, buttons, needles, and pins manufacturing","1,311.41",0.01,0,0,409.83,5.81,8.8,237.32
Indiana (2023),Wabash Valley Resources_Indiana_55,372,"Broom, brush, and mop manufacturing","5,442.10",0.01,0.01,0,"1,063.32",5.9,36.64,"1,994.30"
Indiana (2023),Wabash Valley Resources_Indiana_55,373,Burial casket manufacturing,"3,055.00",0.01,0.01,0,800.47,11.04,26.01,702.73
Indiana (2023),Wabash Valley Resources_Indiana_55,374,All other miscellaneous manufacturing,"3,407.70",0.01,0.01,0,803.82,14.8,21.23,399
Indiana (2023),Wabash Valley Resources_Indiana_55,375,Wholesale - Motor vehicle and motor vehicle parts and supplies,"846,311.94",2.14,2.01,0.13,"172,379.57","14,558.15","25,159.03","186,636.16"
Indiana (2023),Wabash Valley Resources_Indiana_55,376,Wholesale - Professional and commercial equipment and supplies,"1,394,405.20",4.7,4.26,0.44,"573,315.63","50,898.01","35,604.44","150,494.37"
Indiana (2023),Wabash Valley Resources_Indiana_55,377,Wholesale - Household appliances and electrical and electronic goods,"5,046,459.98",7.39,6.84,0.55,"733,154.83","65,242.86","128,319.60","1,338,237.43"
Indiana (2023),Wabash Valley Resources_Indiana_55,378,"Wholesale - Machinery, equipment, and supplies","2,738,179.80",9.84,9.11,0.73,"956,756.42","82,616.58","94,060.15","435,269.77"
Indiana (2023),Wabash Valley Resources_Indiana_55,379,Wholesale - Other durable goods merchant wholesalers,"7,487,156.56",21.9,20.44,1.46,"1,963,288.48","175,452.62","298,378.24","1,491,115.56"
Indiana (2023),Wabash Valley Resources_Indiana_55,380,Wholesale - Drugs and druggists’ sundries,"993,904.55",1.01,0.89,0.12,"174,622.82","17,157.18","11,609.86","331,191.62"
Indiana (2023),Wabash Valley Resources_Indiana_55,381,Wholesale - Grocery and related product wholesalers,"918,471.53",3.54,3.34,0.19,"267,100.13","23,891.56","11,143.70","176,906.69"
Indiana (2023),Wabash Valley Resources_Indiana_55,382,Wholesale - Petroleum and petroleum products,"5,543,600.53",3.61,3.28,0.34,"413,555.75","37,809.38","3,046,830.64","1,139,543.83"
Indiana (2023),Wabash Valley Resources_Indiana_55,383,Wholesale - Other nondurable goods merchant wholesalers,"2,891,221.12",7.1,6.64,0.46,"609,384.38","54,661.87","188,423.47","734,261.40"
Indiana (2023),Wabash Valley Resources_Indiana_55,384,Wholesale - Wholesale electronic markets and agents and brokers,"473,957.76",7.57,6.9,0.67,"863,175.95","85,843.86","2,311.29","-637,947.05"
Indiana (2023),Wabash Valley Resources_Indiana_55,385,Retail - Motor vehicle and parts dealers,"3,606,853.54",17.96,15.74,2.22,"1,153,392.77","79,580.65","464,897.09","888,061.55"
Indiana (2023),Wabash Valley Resources_Indiana_55,386,Retail - Furniture and home furnishings stores,"850,450.11",6.01,4.13,1.88,"242,152.03","27,432.58","108,140.31","370,474.20"
Indiana (2023),Wabash Valley Resources_Indiana_55,387,Retail - Electronics and appliance stores,"296,883.85",4.76,3.18,1.58,"221,545.36","34,546.44","40,451.79","-19,116.50"
Indiana (2023),Wabash Valley Resources_Indiana_55,388,Retail - Building material and garden equipment and supplies stores,"18,102,224.75",128.74,113.54,15.2,"5,796,761.77","334,531.86","2,653,015.71","6,656,237.60"
Indiana (2023),Wabash Valley Resources_Indiana_55,389,Retail - Food and beverage stores,"1,591,824.26",16.49,14.68,1.81,"518,213.37","88,126.46","153,152.99","367,800.55"
Indiana (2023),Wabash Valley Resources_Indiana_55,390,Retail - Health and personal care stores,"1,373,378.11",10.92,8.39,2.53,"489,788.75","54,739.10","88,006.09","429,033.66"
Indiana (2023),Wabash Valley Resources_Indiana_55,391,Retail - Gasoline stores,"983,536.18",7.8,6.86,0.94,"230,673.83","50,562.80","130,061.90","234,478.43"
Indiana (2023),Wabash Valley Resources_Indiana_55,392,Retail - Clothing and clothing accessories stores,"951,969.33",8.22,5.95,2.27,"181,767.59","31,797.39","121,471.51","171,167.08"
Indiana (2023),Wabash Valley Resources_Indiana_55,393,"Retail - Sporting goods, hobby, musical instrument and book stores","743,135.59",9.54,6.25,3.29,"268,419.94","45,993.55","73,708.21","214,275.47"
Indiana (2023),Wabash Valley Resources_Indiana_55,394,Retail - General merchandise stores,"2,546,179.17",30.1,28.7,1.4,"1,020,464.00","26,217.22","357,631.07","298,946.25"
Indiana (2023),Wabash Valley Resources_Indiana_55,395,Retail - Miscellaneous store retailers,"1,235,870.44",20.26,10.27,9.99,"381,383.98","142,358.28","121,918.70","15,103.07"
Indiana (2023),Wabash Valley Resources_Indiana_55,396,Air transportation,"818,104.77",1.76,1.57,0.2,"186,650.38","11,980.68","75,979.74","48,834.44"
Indiana (2023),Wabash Valley Resources_Indiana_55,397,Rail transportation,"1,070,508.69",1.5,1.5,0,"236,577.33","-28,277.11","135,269.09","319,212.16"
Indiana (2023),Wabash Valley Resources_Indiana_55,398,Water transportation,"280,995.64",0.44,0.42,0.02,"51,870.24",590.82,"6,059.85","39,040.35"
Indiana (2023),Wabash Valley Resources_Indiana_55,399,Truck transportation,"8,192,125.96",35.19,26.28,8.91,"2,315,436.35","609,171.84","62,248.56","1,231,936.78"
Indiana (2023),Wabash Valley Resources_Indiana_55,400,Transit and ground passenger transportation,"392,547.57",6.6,1.31,5.29,"64,649.91","74,337.08","3,587.38","49,023.00"
Indiana (2023),Wabash Valley Resources_Indiana_55,401,Pipeline transportation,"132,502.58",0.17,0.17,0.01,"28,938.19","18,379.34","12,967.87","3,462.41"
Indiana (2023),Wabash Valley Resources_Indiana_55,402,Scenic and sightseeing transportation and support activities for transportation,"615,677.83",7.42,5.98,1.44,"472,877.12","78,486.12","7,752.99","-118,741.39"
Indiana (2023),Wabash Valley Resources_Indiana_55,403,Couriers and messengers,"1,217,853.66",26.76,9.58,17.18,"623,553.51","9,857.28","13,014.74","432,520.99"
Indiana (2023),Wabash Valley Resources_Indiana_55,404,Warehousing and storage,"1,672,366.50",16.92,16.46,0.45,"1,013,650.31","21,563.21","7,876.38","43,501.46"
Indiana (2023),Wabash Valley Resources_Indiana_55,405,Newspaper publishers,"123,710.91",0.79,0.67,0.12,"40,237.62","2,121.19",929.13,"32,732.79"
Indiana (2023),Wabash Valley Resources_Indiana_55,406,Periodical publishers,"41,548.95",0.17,0.14,0.04,"11,024.97",523.82,248.97,"8,681.36"
Indiana (2023),Wabash Valley Resources_Indiana_55,407,Book publishers,"225,474.34",0.48,0.37,0.1,"29,113.04","1,893.13","1,318.78","47,318.30"
Indiana (2023),Wabash Valley Resources_Indiana_55,408,"Directory, mailing list, and other publishers","68,592.06",0.23,0.16,0.07,"21,899.41","1,343.64",426.77,"16,716.59"
Indiana (2023),Wabash Valley Resources_Indiana_55,409,Greeting card publishing,"2,403.29",0.01,0.01,0,770.71,47.84,10.22,255.82
Indiana (2023),Wabash Valley Resources_Indiana_55,410,Software publishers,"778,385.84",2.14,1.18,0.96,"195,433.22","16,165.12","7,251.63","166,520.77"
Indiana (2023),Wabash Valley Resources_Indiana_55,411,Motion picture and video industries,"267,730.93",1.25,0.88,0.37,"34,964.94","5,881.74","9,076.18","25,702.67"
Indiana (2023),Wabash Valley Resources_Indiana_55,412,Sound recording industries,"35,681.95",0.04,0.02,0.02,"2,031.55",304.13,"1,678.53","8,330.39"
Indiana (2023),Wabash Valley Resources_Indiana_55,413,Radio and television broadcasting,"573,730.73",1.87,1.35,0.52,"103,609.75","66,489.39","9,956.46","-53,255.77"
Indiana (2023),Wabash Valley Resources_Indiana_55,414,Cable and other subscription programming,"196,393.27",0.22,0.12,0.1,"13,187.49","9,903.02","2,678.94","14,421.10"
Indiana (2023),Wabash Valley Resources_Indiana_55,415,Wired telecommunications carriers,"851,135.44",2.17,1.53,0.63,"157,433.13","2,044.12","24,938.29","109,501.73"
Indiana (2023),Wabash Valley Resources_Indiana_55,416,Wireless telecommunications carriers (except satellite),"2,068,586.92",1.12,0.76,0.36,"82,119.82",892.1,"60,724.34","497,519.21"
Indiana (2023),Wabash Valley Resources_Indiana_55,417,"Satellite, telecommunications resellers, and all other telecommunications","224,393.97",0.68,0.48,0.21,"51,474.98",933.83,"14,301.48","13,326.72"
Indiana (2023),Wabash Valley Resources_Indiana_55,418,"Data processing, hosting, and related services","1,897,740.91",6.41,4.39,2.02,"497,634.27","82,580.37","48,698.36","228,110.85"
Indiana (2023),Wabash Valley Resources_Indiana_55,419,"News syndicates, libraries, archives and all other information services","14,258.77",0.2,0.16,0.04,"12,641.18","2,796.88",159.98,"-2,013.15"
Indiana (2023),Wabash Valley Resources_Indiana_55,420,Internet publishing and broadcasting and web search portals,"425,587.74",0.48,0.38,0.09,"32,083.12","9,512.67","2,021.78","86,836.57"
Indiana (2023),Wabash Valley Resources_Indiana_55,421,Nondepository credit intermediation and related activities,"1,451,446.38",4.59,4.2,0.39,"461,395.55","12,642.12","32,073.52","129,702.42"
Indiana (2023),Wabash Valley Resources_Indiana_55,422,Securities and commodity contracts intermediation and brokerage,"1,141,945.31",11.7,2.1,9.6,"472,251.46","21,952.94","3,934.72","-84,168.35"
Indiana (2023),Wabash Valley Resources_Indiana_55,423,Monetary authorities and depository credit intermediation,"4,394,201.97",13.15,12.26,0.89,"1,157,104.53","16,885.67","77,850.16","1,177,854.34"
Indiana (2023),Wabash Valley Resources_Indiana_55,424,Other financial investment activities,"1,716,244.65",8.99,2.1,6.89,"338,832.64","14,820.42","10,418.33","29,835.58"
Indiana (2023),Wabash Valley Resources_Indiana_55,425,Direct life insurance carriers,"686,551.86",2.05,1.44,0.61,"199,814.07","5,075.59","19,299.56","160,429.71"
Indiana (2023),Wabash Valley Resources_Indiana_55,426,"Insurance carriers, except direct life","3,234,362.94",5.31,4.02,1.29,"488,469.30","11,955.42","69,504.99","1,147,489.11"
Indiana (2023),Wabash Valley Resources_Indiana_55,427,"Insurance agencies, brokerages, and related activities","2,824,520.88",8.05,6.45,1.6,"633,648.11","14,172.92","8,934.69","873,394.37"
Indiana (2023),Wabash Valley Resources_Indiana_55,428,"Funds, trusts, and other financial vehicles","715,608.67",4.05,1.51,2.54,"121,531.40","25,383.54","1,373.94","103,543.67"
Indiana (2023),Wabash Valley Resources_Indiana_55,429,Other real estate,"9,664,158.29",36.47,5.64,30.83,"447,155.30","3,707,220.76","94,657.77","1,230,614.87"
Indiana (2023),Wabash Valley Resources_Indiana_55,430,Tenant-occupied housing,"1,786,442.57",5.25,0.99,4.27,"60,579.24","586,340.60","132,832.01","862,442.65"
Indiana (2023),Wabash Valley Resources_Indiana_55,431,Owner-occupied housing,"14,979,345.31",0,0,0,0,0,"1,684,090.48","11,531,559.27"
Indiana (2023),Wabash Valley Resources_Indiana_55,432,Automotive equipment rental and leasing,"308,095.72",0.8,0.68,0.13,"46,844.37","54,700.22","22,157.85","38,663.73"
Indiana (2023),Wabash Valley Resources_Indiana_55,433,General and consumer goods rental except video tapes and discs,"571,997.69",3.04,2.56,0.47,"155,461.07","139,997.78","40,254.15","21,245.08"
Indiana (2023),Wabash Valley Resources_Indiana_55,434,Video tape and disc rental,"4,510.13",0.02,0.02,0,"1,222.00",503.65,448.49,531.7
Indiana (2023),Wabash Valley Resources_Indiana_55,435,Commercial and industrial machinery and equipment rental and leasing,"7,789,594.12",14.86,11.71,3.16,"1,180,584.78","1,099,655.84","484,762.32","1,262,560.36"
Indiana (2023),Wabash Valley Resources_Indiana_55,436,Lessors of nonfinancial intangible assets,"942,213.73",0.19,0.07,0.11,"11,232.41",-657.49,"21,030.30","356,965.42"
Indiana (2023),Wabash Valley Resources_Indiana_55,437,Legal services,"2,588,568.81",11.18,7.64,3.54,"851,646.94","218,493.40","6,882.47","1,023,168.73"
Indiana (2023),Wabash Valley Resources_Indiana_55,438,"Accounting, tax preparation, bookkeeping, and payroll services","2,201,135.47",14.78,10.67,4.12,"987,195.51","256,645.30","132,793.44","251,629.56"
Indiana (2023),Wabash Valley Resources_Indiana_55,439,"Architectural, engineering, and related services","3,182,872.75",15.99,11.02,4.96,"1,212,835.70","329,805.05","232,737.81","294,414.77"
Indiana (2023),Wabash Valley Resources_Indiana_55,440,Specialized design services,"206,020.13",0.73,0.56,0.17,"38,667.69","10,288.31","42,839.17","52,138.06"
Indiana (2023),Wabash Valley Resources_Indiana_55,441,Custom computer programming services,"325,713.96",2.63,1.74,0.89,"215,062.24","49,561.42","7,703.82","-52,106.72"
Indiana (2023),Wabash Valley Resources_Indiana_55,442,Computer systems design services,"853,296.51",4.62,2.9,1.72,"385,765.18","106,566.10","21,870.12","19,004.50"
Indiana (2023),Wabash Valley Resources_Indiana_55,443,"Other computer related services, including facilities management","377,447.97",2.13,1.41,0.72,"170,475.36","45,669.44","10,250.85","6,746.74"
Indiana (2023),Wabash Valley Resources_Indiana_55,444,Management consulting services,"1,141,848.05",7.62,5.34,2.28,"517,186.33","137,573.86","84,735.48","36,841.64"
Indiana (2023),Wabash Valley Resources_Indiana_55,445,Environmental and other technical consulting services,"335,684.73",1.92,1.34,0.58,"133,527.30","36,175.64","20,465.82","8,076.63"
Indiana (2023),Wabash Valley Resources_Indiana_55,446,Scientific research and development services,"1,503,821.82",4.53,3.85,0.68,"374,921.26","39,299.38","30,192.66","417,745.82"
Indiana (2023),Wabash Valley Resources_Indiana_55,447,"Advertising, public relations, and related services","1,014,385.25",5.01,2.99,2.01,"249,064.21","65,290.89","97,621.70","228,740.90"
Indiana (2023),Wabash Valley Resources_Indiana_55,448,Photographic services,"78,667.12",0.29,0.25,0.04,"9,745.00","2,498.80","17,043.46","20,080.49"
Indiana (2023),Wabash Valley Resources_Indiana_55,449,Veterinary services,"310,405.14",2.45,2,0.46,"117,584.55","30,718.67","18,251.66","54,910.39"
Indiana (2023),Wabash Valley Resources_Indiana_55,450,"All other miscellaneous professional, scientific, and technical services","420,489.19",1.7,1.19,0.51,"119,338.94","32,392.37","23,805.13","88,153.11"
Indiana (2023),Wabash Valley Resources_Indiana_55,451,Management of companies and enterprises,"2,851,991.42",11.66,10.13,1.54,"1,493,890.77",-502.12,"23,905.02","265,029.92"
Indiana (2023),Wabash Valley Resources_Indiana_55,452,Office administrative services,"322,901.06",3.93,2.47,1.46,"251,577.25","39,697.30","1,096.48","-92,475.40"
Indiana (2023),Wabash Valley Resources_Indiana_55,453,Facilities support services,"108,503.48",0.62,0.45,0.17,"33,003.94","5,174.12",497.85,"10,287.32"
Indiana (2023),Wabash Valley Resources_Indiana_55,454,Employment services,"3,822,903.41",36.05,27.67,8.38,"1,485,510.72","242,487.65","12,198.64","571,404.48"
Indiana (2023),Wabash Valley Resources_Indiana_55,455,Business support services,"435,107.21",5.04,3.82,1.22,"230,065.07","36,199.22","3,083.71","-41,666.18"
Indiana (2023),Wabash Valley Resources_Indiana_55,456,Travel arrangement and reservation services,"330,031.00",1.36,0.91,0.45,"74,365.21","11,442.07","1,743.62","35,425.26"
